Charge Type,Charge Description,row_count,total_value,Major Category,Subcategory,Method
NMFC 133300-05 MACHINERY; NOI; OR * 65 525 32.46,NMFC 133300-05 MACHINERY; NOI; OR * 65 525 32.46,1,170.42,Other / Uncategorized,Unclassified,none
NMFC 150005-07 PAINT AND RELATED M * 92.5 440 25.21,NMFC 150005-07 PAINT AND RELATED M * 92.5 440 25.21,1,110.92,Other / Uncategorized,Unclassified,none
NMFC 156600-02 Articles; see Notes; item 300 85 100.23,NMFC 156600-02 Articles; see Notes; item 300 85 100.23,1,85.2,Other / Uncategorized,Unclassified,none
NMFC 156600-03 item 250 117 33.41 Articles; see Notes;,NMFC 156600-03 item 250 117 33.41 Articles; see Notes;,1,39.09,Other / Uncategorized,Unclassified,none
NMFC 156600-04 PLASTIC O * 175 227 MIN ARTICLES;,NMFC 156600-04 PLASTIC O * 175 227 MIN ARTICLES;,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 156600-06 PLASTIC O * 100 498 MIN ARTICLES;,NMFC 156600-06 PLASTIC O * 100 498 MIN ARTICLES;,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 156830- Film or Sheeting; 55 394 6.85,NMFC 156830- Film or Sheeting; 55 394 6.85,1,26.99,Other / Uncategorized,Unclassified,none
NMFC 133300-03 MACHINERY; NOI; OR * 125 71 MIN,NMFC 133300-03 MACHINERY; NOI; OR * 125 71 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 133300-03 125 90 MIN,NMFC 133300-03 125 90 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 133300-03 125 5192 26.23,NMFC 133300-03 125 5192 26.23,1,1361.86,Other / Uncategorized,Unclassified,none
NMFC 133300-02 OR * 250 145 MIN MACHINERY; NOI;,NMFC 133300-02 OR * 250 145 MIN MACHINERY; NOI;,1,142.94,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 8805 25.34,NMFC 051080-05 Faucets; Bibcocks; 70 8805 25.34,1,2231.19,Other / Uncategorized,Unclassified,none
NMFC 051080-06 Faucets; Bibcocks; 70 595 MIN,NMFC 051080-06 Faucets; Bibcocks; 70 595 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 061700-08 ELECTRICAL APPLIANCE * 85 535 32.46,NMFC 061700-08 ELECTRICAL APPLIANCE * 85 535 32.46,1,173.66,Other / Uncategorized,Unclassified,none
NMFC 095190-03 NOI * 250 500 MIN HARDWARE;,NMFC 095190-03 NOI * 250 500 MIN HARDWARE;,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 133300-02 250 94 MIN,NMFC 133300-02 250 94 MIN,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 133300-02 MACHINERY; NOI; OR * 250 11 MIN,NMFC 133300-02 MACHINERY; NOI; OR * 250 11 MIN,1,142.94,Other / Uncategorized,Unclassified,none
NMFC 133300-02 MACHINERY; NOI; OR * 250 77 MIN,NMFC 133300-02 MACHINERY; NOI; OR * 250 77 MIN,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 133300-02 OR * 250 227 MIN MACHINERY; NOI;,NMFC 133300-02 OR * 250 227 MIN MACHINERY; NOI;,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 133300-03 125 454 35.62,NMFC 133300-03 125 454 35.62,1,161.71,Other / Uncategorized,Unclassified,none
NMFC 133300-02 OR * 250 252 MIN MACHINERY; NOI;,NMFC 133300-02 OR * 250 252 MIN MACHINERY; NOI;,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 133300-02 OR * 250 266 MIN MACHINERY; NOI;,NMFC 133300-02 OR * 250 266 MIN MACHINERY; NOI;,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 133300-02 OR * 250 43 MIN MACHINERY; NOI;,NMFC 133300-02 OR * 250 43 MIN MACHINERY; NOI;,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 133300-02 OR * 250 465 60.53 MACHINERY; NOI;,NMFC 133300-02 OR * 250 465 60.53 MACHINERY; NOI;,1,281.46,Other / Uncategorized,Unclassified,none
NMFC 133300-02 OR * 250 635 64.74 MACHINERY; NOI;,NMFC 133300-02 OR * 250 635 64.74 MACHINERY; NOI;,1,411.1,Other / Uncategorized,Unclassified,none
NMFC 133300-03 125 102 MIN,NMFC 133300-03 125 102 MIN,1,254.09,Other / Uncategorized,Unclassified,none
NMFC 133300-03 125 1940 23.20,NMFC 133300-03 125 1940 23.20,1,450.08,Other / Uncategorized,Unclassified,none
NMFC 156830- Film or Sheeting; 55 394 MIN,NMFC 156830- Film or Sheeting; 55 394 MIN,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 158880-04 PLUMBERS NOI * 175 70 MIN GOODS;,NMFC 158880-04 PLUMBERS NOI * 175 70 MIN GOODS;,1,158.29,Other / Uncategorized,Unclassified,none
PRINTED LABELS 55 549 23.23,PRINTED LABELS 55 549 23.23,1,127.53,Other / Uncategorized,Unclassified,none
NMFC 95190-08 HARDWARE NOI 85 4890 13.98,NMFC 95190-08 HARDWARE NOI 85 4890 13.98,1,683.62,Other / Uncategorized,Unclassified,none
PIECE CABLE OR WIRE 042/42/26 1 PC 70.0 696 122.00,PIECE CABLE OR WIRE 042/42/26 1 PC 70.0 696 122.00,1,849.12,Other / Uncategorized,Unclassified,none
PIECE FILM OR SHEETING LT 15 PCF 048/40/ 110.0 225 F/C,PIECE FILM OR SHEETING LT 15 PCF 048/40/ 110.0 225 F/C,1,134.0,Other / Uncategorized,Unclassified,none
PIECE FILM OR SHEETING NOI - DENSITY LESS 92.5 122 F/C,PIECE FILM OR SHEETING NOI - DENSITY LESS 92.5 122 F/C,1,151.0,Other / Uncategorized,Unclassified,none
PIECE FUME HOOD 038/30/34 1,PIECE FUME HOOD 038/30/34 1,1,626.39,Other / Uncategorized,Unclassified,none
PIECE FUME HOOD 081/31/73 1,PIECE FUME HOOD 081/31/73 1,1,2436.52,Other / Uncategorized,Unclassified,none
PIECE FUME HOOD 081/31/73 1 PC,PIECE FUME HOOD 081/31/73 1 PC,1,2430.35,Other / Uncategorized,Unclassified,none
PIECE FURNE HOOD 055/36/85 1,PIECE FURNE HOOD 055/36/85 1,1,1970.8,Other / Uncategorized,Unclassified,none
PIECE MEDICAL SUPPLIES NOI - DENSITY 6 BU 125.0 157 F/C,PIECE MEDICAL SUPPLIES NOI - DENSITY 6 BU 125.0 157 F/C,1,139.0,Other / Uncategorized,Unclassified,none
PIECE MEDICAL SUPPLIES NOI DENSITY 6 BUT 125.0 250 F/C,PIECE MEDICAL SUPPLIES NOI DENSITY 6 BUT 125.0 250 F/C,1,128.0,Other / Uncategorized,Unclassified,none
PIECE STEEL EXPANSION TANK OTHER THAN BOX 150.0 1;352 147.69,PIECE STEEL EXPANSION TANK OTHER THAN BOX 150.0 1;352 147.69,1,1996.77,Other / Uncategorized,Unclassified,none
PLASTIC ARTICLES 100 378 MIN,PLASTIC ARTICLES 100 378 MIN,1,118.25,Other / Uncategorized,Unclassified,none
PLASTIC ARTICLES NMFC,PLASTIC ARTICLES NMFC,1,3813.09,Other / Uncategorized,Unclassified,none
PLASTIC ARTICLES ,PLASTIC ARTICLES ,1,1396.14,Other / Uncategorized,Unclassified,none
PR Std Lg 20x20x12,PR Std Lg 20x20x12,1,11.99,Other / Uncategorized,Unclassified,none
PRE-MANIFEST FEE,PRE-MANIFEST FEE,1,15.0,Other / Uncategorized,Unclassified,none
PREPULL,PREPULL,1,175.0,Other / Uncategorized,Unclassified,none
PRINTED LABELS 55 514 23.23,PRINTED LABELS 55 514 23.23,1,119.4,Other / Uncategorized,Unclassified,none
PIECE CABLE OR WIRE 040/36/53 1 PC 70.0 640 122.00,PIECE CABLE OR WIRE 040/36/53 1 PC 70.0 640 122.00,1,780.8,Other / Uncategorized,Unclassified,none
PAPER CORES OR TUBES 1 Each $1;143.33,PAPER CORES OR TUBES 1 Each $1;143.33,1,1143.33,Other / Uncategorized,Unclassified,none
PALLETS 70 380 32.50 (PLASTIC),PALLETS 70 380 32.50 (PLASTIC),1,123.5,Other / Uncategorized,Unclassified,none
OVER DIM 240 IN,OVER DIM 240 IN,1,1337.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 195 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 195 MIN Faucets; Bibcocks; ...,1,158.29,Other / Uncategorized,Unclassified,none
NWCARBCTED CITY FEE FLAT,NWCARBCTED CITY FEE FLAT,1,77.0,Other / Uncategorized,Unclassified,none
NYHULL-BEND TESTER OR# HARDWARE *FXF 100001/05/26 ILC 11080,NYHULL-BEND TESTER OR# HARDWARE *FXF 100001/05/26 ILC 11080,1,2617.55,Other / Uncategorized,Unclassified,none
Non-Taxable Broker Fee,Non-Taxable Broker Fee,1,22.3,Other / Uncategorized,Unclassified,none
OILS NMFC 145100 S2,OILS NMFC 145100 S2,1,673.46,Other / Uncategorized,Unclassified,none
OVER DIM - 78 IN,OVER DIM - 78 IN,1,151.0,Other / Uncategorized,Unclassified,none
OVER DIM - 84.51 IN,OVER DIM - 84.51 IN,1,151.0,Other / Uncategorized,Unclassified,none
OVERSIZE PIECE,OVERSIZE PIECE,1,20.0,Other / Uncategorized,Unclassified,none
PALLET STEEL EXPANSION TANK - OTHER THAN B 150.0 167 F/C,PALLET STEEL EXPANSION TANK - OTHER THAN B 150.0 167 F/C,1,134.0,Other / Uncategorized,Unclassified,none
Org. Cargo Screening 1412;5 Kilogram(s) 0;10/KG,Org. Cargo Screening 1412;5 Kilogram(s) 0;10/KG,1,141.25,Other / Uncategorized,Unclassified,none
Org. Cargo Screening 87 Kilogram(s),Org. Cargo Screening 87 Kilogram(s),1,8.7,Other / Uncategorized,Unclassified,none
PACSU PACKING SUPPLIES UN LABELS 2.000 10.0000,PACSU PACKING SUPPLIES UN LABELS 2.000 10.0000,1,20.0,Other / Uncategorized,Unclassified,none
PAIL UN1688; SODIUM CACODYLATE; 6.1; PG 85.0 551 186.65,PAIL UN1688; SODIUM CACODYLATE; 6.1; PG 85.0 551 186.65,1,1028.44,Other / Uncategorized,Unclassified,none
PALLET FILM OR SHEETING NOI - DENSITY 30 o 55.0 971 107.35,PALLET FILM OR SHEETING NOI - DENSITY 30 o 55.0 971 107.35,1,1042.37,Other / Uncategorized,Unclassified,none
PALLET I168920-6 DVDS 15 BLT22.5 PCF 100.0 266 399.36,PALLET I168920-6 DVDS 15 BLT22.5 PCF 100.0 266 399.36,1,1062.3,Other / Uncategorized,Unclassified,none
PALLET MACHINERY 5 BLT 10 PCF 125.0 200 F/C,PALLET MACHINERY 5 BLT 10 PCF 125.0 200 F/C,1,134.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 2000 40.03 Faucets; Bibcocks;,NMFC 051080-05 70 2000 40.03 Faucets; Bibcocks;,1,800.6,Other / Uncategorized,Unclassified,none
(CL175) CLASS 175.0 (EX175) 393 EX175 66803,(CL175) CLASS 175.0 (EX175) 393 EX175 66803,1,2625.36,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 186 MIN Faucets; Bibcocks;,NMFC 051080-05 70 186 MIN Faucets; Bibcocks;,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 185 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 185 MIN Faucets; Bibcocks; ...,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATORS 125 320 MIN,ACTUATORS 125 320 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATORS 92.5 162 MIN,ACTUATORS 92.5 162 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATORS 92.5 314 MIN,ACTUATORS 92.5 314 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATORS 92.5 390 MIN,ACTUATORS 92.5 390 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACUATORS 70 165 MIN,ACUATORS 70 165 MIN,1,173.02,Other / Uncategorized,Unclassified,none
ADVANCES,ADVANCES,1,575.0,Other / Uncategorized,Unclassified,none
ADVANCES CONCORDIA SYDNEY,ADVANCES CONCORDIA SYDNEY,1,1599.1,Other / Uncategorized,Unclassified,none
AES Filing Fee,AES Filing Fee,1,25.0,Other / Uncategorized,Unclassified,none
AIR SWITCHES 100 346 MIN,AIR SWITCHES 100 346 MIN,1,118.25,Other / Uncategorized,Unclassified,none
ALUMINUM CASTINGS 70 4310 17.00,ALUMINUM CASTINGS 70 4310 17.00,1,732.7,Other / Uncategorized,Unclassified,none
AMS (Automated Manifest System),AMS (Automated Manifest System),1,35.0,Other / Uncategorized,Unclassified,none
AMS Fee,AMS Fee,1,35.0,Other / Uncategorized,Unclassified,none
ASSEMBLED 40X24X28 IT-62070-1 CL70 70 555 35.93,ASSEMBLED 40X24X28 IT-62070-1 CL70 70 555 35.93,1,199.41,Other / Uncategorized,Unclassified,none
ASSEMBLED 40X24X28~ IT-62070-1 CL70 70 285 MIN,ASSEMBLED 40X24X28~ IT-62070-1 CL70 70 285 MIN,1,173.02,Other / Uncategorized,Unclassified,none
ASSEMBLED IT-062070-1 CL70 70 268 MIN,ASSEMBLED IT-062070-1 CL70 70 268 MIN,1,226.29,Other / Uncategorized,Unclassified,none
ASSEMBLED IT-62070-1 CL70 40X24X28 70 328 29.65,ASSEMBLED IT-62070-1 CL70 40X24X28 70 328 29.65,1,97.25,Other / Uncategorized,Unclassified,none
ATDL ATTEMPTED TENDER,ATDL ATTEMPTED TENDER,1,75.0,Other / Uncategorized,Unclassified,none
ATDL ATTEMPTED TENDER UA,ATDL ATTEMPTED TENDER UA,1,45.0,Other / Uncategorized,Unclassified,none
Accessorial,AMS Fee,1,50.0,Other / Uncategorized,Unclassified,none
Accessorial,DEFICIT 170 2052,1,34.88,Other / Uncategorized,Unclassified,none
Accessorial,DEFICIT 95 3192,1,30.32,Other / Uncategorized,Unclassified,none
ACTUATORS 125 269 MIN,ACTUATORS 125 269 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATORS 125 244 MIN,ACTUATORS 125 244 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATORS 125 242 MIN,ACTUATORS 125 242 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATOR 70 180 MIN,ACTUATOR 70 180 MIN,1,158.29,Other / Uncategorized,Unclassified,none
50 3;158 22.49,50 3;158 22.49,1,710.23,Other / Uncategorized,Unclassified,none
53.0 287 EX175 84600 (EX175),53.0 287 EX175 84600 (EX175),1,2428.02,Other / Uncategorized,Unclassified,none
61.0 338 EX175 81785 (EX175),61.0 338 EX175 81785 (EX175),1,2764.33,Other / Uncategorized,Unclassified,none
65.0 379 EX175 76639 (EX175),65.0 379 EX175 76639 (EX175),1,2904.62,Other / Uncategorized,Unclassified,none
68246558 SHPR# CONTROL VALVE *FXF 50101/05/26 ILS 04245 FAK RATES APPLIED,68246558 SHPR# CONTROL VALVE *FXF 50101/05/26 ILS 04245 FAK RATES APPLIED,1,954.89,Other / Uncategorized,Unclassified,none
70 FAK 55 1;051 26.17,70 FAK 55 1;051 26.17,1,275.05,Other / Uncategorized,Unclassified,none
74.0 433 EX175 56272 (EX175),74.0 433 EX175 56272 (EX175),1,2436.58,Other / Uncategorized,Unclassified,none
ACTUATOR 70 105 MIN,ACTUATOR 70 105 MIN,1,173.02,Other / Uncategorized,Unclassified,none
ACTUATOR 70 175 MIN,ACTUATOR 70 175 MIN,1,173.02,Other / Uncategorized,Unclassified,none
ACTUATOR 70 86 MIN,ACTUATOR 70 86 MIN,1,173.02,Other / Uncategorized,Unclassified,none
ACTUATORS 125 140 MIN,ACTUATORS 125 140 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATOR 70 90 MIN,ACTUATOR 70 90 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATOR 70 95 MIN,ACTUATOR 70 95 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATOR 70 960 23.58,ACTUATOR 70 960 23.58,1,226.37,Other / Uncategorized,Unclassified,none
ACTUATORS 100 178 MIN,ACTUATORS 100 178 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATORS 100 224 MIN,ACTUATORS 100 224 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATORS 100 241 MIN,ACTUATORS 100 241 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATORS 100 355 MIN,ACTUATORS 100 355 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATORS 100 550 MIN,ACTUATORS 100 550 MIN,1,158.29,Other / Uncategorized,Unclassified,none
ACTUATORS 125 122 MIN,ACTUATORS 125 122 MIN,1,158.29,Other / Uncategorized,Unclassified,none
Accessorial,DEFICIT WGT ADDED TO RATE AS 1;000 100 330.97,1,330.97,Other / Uncategorized,Unclassified,none
Accessorial,DEFICIT WGT ADDED TO RATE AS 1;000 29 107.35,1,31.13,Other / Uncategorized,Unclassified,none
Accessorial,DEFICIT WGT ADDED TO RATE AS 1;000 6 114.39,1,6.86,Other / Uncategorized,Unclassified,none
CERTIFICATE Z,CERTIFICATE Z,1,14.73,Other / Uncategorized,Unclassified,none
Business or Office Machines; viz. 060 2711 7749,Business or Office Machines; viz. 060 2711 7749,1,2100.75,Other / Uncategorized,Unclassified,none
Business or Office Machines; viz. 060 4400 9149,Business or Office Machines; viz. 060 4400 9149,1,4025.56,Other / Uncategorized,Unclassified,none
CARTAGE,CARTAGE,1,69.3,Other / Uncategorized,Unclassified,none
CASCADES CONTAINERBOARD,CASCADES CONTAINERBOARD,1,125.0,Other / Uncategorized,Unclassified,none
CASTINGS 50 320 MIN,CASTINGS 50 320 MIN,1,118.25,Other / Uncategorized,Unclassified,none
CASTINGS 60 2575 21.51,CASTINGS 60 2575 21.51,1,553.88,Other / Uncategorized,Unclassified,none
CASTINGS 60 3210 21.51,CASTINGS 60 3210 21.51,1,690.47,Other / Uncategorized,Unclassified,none
CASTINGS 60 3506 21.51,CASTINGS 60 3506 21.51,1,754.14,Other / Uncategorized,Unclassified,none
CASTINGS 70 4450 17.00,CASTINGS 70 4450 17.00,1,756.5,Other / Uncategorized,Unclassified,none
CFS,CFS,1,34.44,Other / Uncategorized,Unclassified,none
BOOKING FEE,BOOKING FEE,1,85.0,Other / Uncategorized,Unclassified,none
CHASSIS SPLIT,CHASSIS SPLIT,1,150.0,Other / Uncategorized,Unclassified,none
CHC 7,CHC 7,1,23.01,Other / Uncategorized,Unclassified,none
CL50 50 156 MIN,CL50 50 156 MIN,1,158.29,Other / Uncategorized,Unclassified,none
CL50 50 380 MIN,CL50 50 380 MIN,1,158.29,Other / Uncategorized,Unclassified,none
CL50 50 405 MIN,CL50 50 405 MIN,1,158.29,Other / Uncategorized,Unclassified,none
CL60 60 1055 22.34,CL60 60 1055 22.34,1,235.69,Other / Uncategorized,Unclassified,none
CL60 60 1055 22;34,CL60 60 1055 22;34,1,235.69,Other / Uncategorized,Unclassified,none
CL60 60 197 22.34,CL60 60 197 22.34,1,44.01,Other / Uncategorized,Unclassified,none
CL60 60 476 26.74,CL60 60 476 26.74,1,127.28,Other / Uncategorized,Unclassified,none
"Business or Office Machines, viz.","Business or Office Machines, viz.",1,348.06,Other / Uncategorized,Unclassified,none
BELIMO US INC PRODUCT 70 70 MIN,BELIMO US INC PRODUCT 70 70 MIN,1,118.25,Other / Uncategorized,Unclassified,none
Accessorial,DEFICIT WGT ADDED TO RATE AS 5;000 949 73.03,1,693.05,Other / Uncategorized,Unclassified,none
Accessorial 2,NON-CONVEYABLE PIECE - IRREGULAR,1,30.0,Other / Uncategorized,Unclassified,none
Accessorial,DWD DEST DETENTION WITH POWER M,1,144.5,Other / Uncategorized,Unclassified,none
Accessorial,ELS Excess Ln 116.0X00.00X00.00,1,200.0,Other / Uncategorized,Unclassified,none
Accessorial,ELS Excess Ln 120.0X00.00X00.00,1,200.0,Other / Uncategorized,Unclassified,none
Accessorial,FULL VALUE INSURANCE MIN,1,53.0,Other / Uncategorized,Unclassified,none
Accessorial,LIMITED ACCESS,1,25.0,Other / Uncategorized,Unclassified,none
Accessorial,OVERLENGTH,1,100.0,Other / Uncategorized,Unclassified,none
Accessorial,Origin CFS Fee ,1,36.19,Other / Uncategorized,Unclassified,none
Accessorial,TO REMOTE ACCESS AREA - TABLE B,1,35.0,Other / Uncategorized,Unclassified,none
Accessorial 1,ELEVATED RISK,1,30.0,Other / Uncategorized,Unclassified,none
Accessorial 3,NON-CONVEYABLE PIECE - IRREGULAR,1,30.0,Other / Uncategorized,Unclassified,none
BELIMO US INC PRODUCT 70 500 MIN,BELIMO US INC PRODUCT 70 500 MIN,1,158.29,Other / Uncategorized,Unclassified,none
Accessorial 3,NON-ROUTINE ENTRY,1,35.0,Other / Uncategorized,Unclassified,none
Accessorial 4,GOGREEN PLUS - CARBON REDUCED,1,0.68,Other / Uncategorized,Unclassified,none
Accessorial 4,PREMIUM 12:00,1,6.3,Other / Uncategorized,Unclassified,none
Angles; NOI 060 675 23507,Angles; NOI 060 675 23507,1,1586.72,Other / Uncategorized,Unclassified,none
Appointment,Appointment,1,30.0,Other / Uncategorized,Unclassified,none
BELIMO US INC PRODUCT 70 180 MIN,BELIMO US INC PRODUCT 70 180 MIN,1,158.29,Other / Uncategorized,Unclassified,none
BELIMO US INC PRODUCT 70 250 MIN,BELIMO US INC PRODUCT 70 250 MIN,1,158.29,Other / Uncategorized,Unclassified,none
BELIMO US INC PRODUCT 70 380 MIN,BELIMO US INC PRODUCT 70 380 MIN,1,158.29,Other / Uncategorized,Unclassified,none
BELIMO US INC PRODUCT 70 500 24.73,BELIMO US INC PRODUCT 70 500 24.73,1,123.65,Other / Uncategorized,Unclassified,none
49.0 280 EX175 71316 (EX175),49.0 280 EX175 71316 (EX175),1,1996.85,Other / Uncategorized,Unclassified,none
48.0 X 42.0 X 61.0 608 62092,48.0 X 42.0 X 61.0 608 62092,1,3775.19,Other / Uncategorized,Unclassified,none
4570004072 SHPR# PRINTED ADHESIVE LABELS *FXF PZONE01/05/26 ILS 11115,4570004072 SHPR# PRINTED ADHESIVE LABELS *FXF PZONE01/05/26 ILS 11115,1,885.1,Other / Uncategorized,Unclassified,none
(EX175) 57 EX175 16553,(EX175) 57 EX175 16553,1,94.35,Other / Uncategorized,Unclassified,none
(EX175) 235 EX175 82620,(EX175) 235 EX175 82620,1,1941.57,Other / Uncategorized,Unclassified,none
(EX175) 239 EX175 90631,(EX175) 239 EX175 90631,1,2166.08,Other / Uncategorized,Unclassified,none
(EX175) 263 EX175 56272,(EX175) 263 EX175 56272,1,1479.95,Other / Uncategorized,Unclassified,none
(EX175) 286 EX175 32391,(EX175) 286 EX175 32391,1,926.38,Other / Uncategorized,Unclassified,none
(EX175) 342 EX175 18515,(EX175) 342 EX175 18515,1,633.21,Other / Uncategorized,Unclassified,none
(EX175) 355 EX175 90538,(EX175) 355 EX175 90538,1,3214.1,Other / Uncategorized,Unclassified,none
(EX175) 427 EX175 16553,(EX175) 427 EX175 16553,1,706.81,Other / Uncategorized,Unclassified,none
(EX175) 43 EX175 90538,(EX175) 43 EX175 90538,1,389.31,Other / Uncategorized,Unclassified,none
(EX175) 435 EX175 21592,(EX175) 435 EX175 21592,1,939.25,Other / Uncategorized,Unclassified,none
(EX175) 65 EX175 64814,(EX175) 65 EX175 64814,1,421.29,Other / Uncategorized,Unclassified,none
(EX175) 233 EX175 32391,(EX175) 233 EX175 32391,1,754.71,Other / Uncategorized,Unclassified,none
(EX175) 66 EX175 77588,(EX175) 66 EX175 77588,1,512.08,Other / Uncategorized,Unclassified,none
(EX175) 68 EX175 52780,(EX175) 68 EX175 52780,1,358.9,Other / Uncategorized,Unclassified,none
(EX175) 73 EX175 89532,(EX175) 73 EX175 89532,1,653.58,Other / Uncategorized,Unclassified,none
(EX175) 83 EX175 57301,(EX175) 83 EX175 57301,1,475.6,Other / Uncategorized,Unclassified,none
(EX175) 84 EX175 64814,(EX175) 84 EX175 64814,1,544.44,Other / Uncategorized,Unclassified,none
(EX175) 84 EX175 73008,(EX175) 84 EX175 73008,1,613.27,Other / Uncategorized,Unclassified,none
(EX175) 85 EX175 55646,(EX175) 85 EX175 55646,1,472.99,Other / Uncategorized,Unclassified,none
(EX175) 86 EX175 50855,(EX175) 86 EX175 50855,1,437.35,Other / Uncategorized,Unclassified,none
(EX175) 87 EX175 90538,(EX175) 87 EX175 90538,1,787.68,Other / Uncategorized,Unclassified,none
(EX175) 233 EX175 66057,(EX175) 233 EX175 66057,1,1539.13,Other / Uncategorized,Unclassified,none
(EX175) 231 EX175 82620,(EX175) 231 EX175 82620,1,1908.52,Other / Uncategorized,Unclassified,none
(EX175) 90 EX175 27658,(EX175) 90 EX175 27658,1,248.92,Other / Uncategorized,Unclassified,none
(EX175) 143 EX175 66263,(EX175) 143 EX175 66263,1,947.56,Other / Uncategorized,Unclassified,none
(EX175) 117 EX175 42389,(EX175) 117 EX175 42389,1,495.95,Other / Uncategorized,Unclassified,none
(EX175) 123 EX175 91831,(EX175) 123 EX175 91831,1,1129.52,Other / Uncategorized,Unclassified,none
(EX175) 129 EX175 27658,(EX175) 129 EX175 27658,1,356.79,Other / Uncategorized,Unclassified,none
(EX175) 130 EX175 93006,(EX175) 130 EX175 93006,1,1209.08,Other / Uncategorized,Unclassified,none
(EX175) 135 EX175 21592,(EX175) 135 EX175 21592,1,291.49,Other / Uncategorized,Unclassified,none
(EX175) 135 EX175 66263,(EX175) 135 EX175 66263,1,894.55,Other / Uncategorized,Unclassified,none
(EX175) 135 EX175 76639,(EX175) 135 EX175 76639,1,1034.63,Other / Uncategorized,Unclassified,none
(EX175) 139 EX175 68804,(EX175) 139 EX175 68804,1,956.38,Other / Uncategorized,Unclassified,none
(EX175) 142 EX175 111431,(EX175) 142 EX175 111431,1,1582.32,Other / Uncategorized,Unclassified,none
(EX175) 145 EX175 77588,(EX175) 145 EX175 77588,1,1125.03,Other / Uncategorized,Unclassified,none
(EX175) 230 EX175 62232,(EX175) 230 EX175 62232,1,1431.34,Other / Uncategorized,Unclassified,none
(EX175) 147 EX175 53975,(EX175) 147 EX175 53975,1,793.43,Other / Uncategorized,Unclassified,none
(EX175) 159 EX175 51808,(EX175) 159 EX175 51808,1,823.75,Other / Uncategorized,Unclassified,none
(EX175) 168 EX175 90538,(EX175) 168 EX175 90538,1,1521.04,Other / Uncategorized,Unclassified,none
(EX175) 174 EX175 24152,(EX175) 174 EX175 24152,1,420.24,Other / Uncategorized,Unclassified,none
(EX175) 205 EX175 105109,(EX175) 205 EX175 105109,1,2154.73,Other / Uncategorized,Unclassified,none
(EX175) 219 EX175 81785,(EX175) 219 EX175 81785,1,1791.09,Other / Uncategorized,Unclassified,none
(EX175) 220 EX175 56272,(EX175) 220 EX175 56272,1,1237.98,Other / Uncategorized,Unclassified,none
(EX175) 221 EX175 71316,(EX175) 221 EX175 71316,1,1576.08,Other / Uncategorized,Unclassified,none
(EX175) 227 EX175 71316,(EX175) 227 EX175 71316,1,1618.87,Other / Uncategorized,Unclassified,none
(EX175) 88 EX175 76639,(EX175) 88 EX175 76639,1,674.42,Other / Uncategorized,Unclassified,none
(EX175) 93 EX175 34306,(EX175) 93 EX175 34306,1,319.05,Other / Uncategorized,Unclassified,none
40X24X28IN 70 554 35.93,40X24X28IN 70 554 35.93,1,199.05,Other / Uncategorized,Unclassified,none
2 DIVISION 1.4; LIMITED QUANTITY L: 48 W: 40 H: 48 IN 64300-2 5;690 12.66,2 DIVISION 1.4; LIMITED QUANTITY L: 48 W: 40 H: 48 IN 64300-2 5;690 12.66,1,720.35,Other / Uncategorized,Unclassified,none
